,t_12,t_23,bank_id,s_id,r_first,r_second,all_0,all_1,random
0,40,2,0,0,25,33,1.0,1.0,1.0
0,40,2,1,0,25,33,1.0,1.0,1.0
0,40,2,2,0,25,33,1.0,1.0,1.0
0,40,2,3,0,25,33,1.0,1.0,1.0
0,40,3,0,0,25,33,1.0,1.0,1.0
0,40,3,1,0,25,33,1.0,1.0,1.0
0,40,3,2,0,25,33,1.0,1.0,1.0
0,40,3,3,0,25,33,1.0,1.0,1.0
0,40,4,0,0,25,33,1.0,1.0,1.0
0,40,4,1,0,25,33,1.0,1.0,1.0
0,40,4,2,0,25,33,1.0,1.0,1.0
0,40,4,3,0,25,33,1.0,1.0,1.0
0,40,5,0,0,25,33,0.5,0.5,0.5
0,40,5,1,0,25,33,0.5,0.5,0.5
0,40,5,2,0,25,33,0.625,0.625,0.624937
